location,target,forecast_date,target_end_date,value
36,3 wk ahead cum death,24-08-2020,12-09-2020,33043
36,4 wk ahead cum death,24-08-2020,19-09-2020,33042
36,1 wk ahead inc death,31-08-2020,05-09-2020,43
36,2 wk ahead inc death,31-08-2020,12-09-2020,37
36,3 wk ahead inc death,31-08-2020,19-09-2020,35
36,4 wk ahead inc death,31-08-2020,26-09-2020,31
36,1 wk ahead cum death,31-08-2020,05-09-2020,33129
36,2 wk ahead cum death,31-08-2020,12-09-2020,33123
36,3 wk ahead cum death,31-08-2020,19-09-2020,33121
36,4 wk ahead cum death,31-08-2020,26-09-2020,33117
36,1 wk ahead inc death,07-09-2020,12-09-2020,37
36,2 wk ahead inc death,07-09-2020,19-09-2020,37
36,3 wk ahead inc death,07-09-2020,26-09-2020,33
36,4 wk ahead inc death,07-09-2020,03-10-2020,30
36,1 wk ahead cum death,07-09-2020,12-09-2020,32934
36,2 wk ahead cum death,07-09-2020,19-09-2020,32934
36,3 wk ahead cum death,07-09-2020,26-09-2020,32930
36,4 wk ahead cum death,07-09-2020,03-10-2020,32928
36,1 wk ahead inc death,14-09-2020,19-09-2020,55
36,2 wk ahead inc death,14-09-2020,26-09-2020,52
36,3 wk ahead inc death,14-09-2020,03-10-2020,54
36,4 wk ahead inc death,14-09-2020,10-10-2020,54
36,1 wk ahead cum death,14-09-2020,19-09-2020,32952
36,2 wk ahead cum death,14-09-2020,26-09-2020,33004
36,3 wk ahead cum death,14-09-2020,03-10-2020,33058
36,4 wk ahead cum death,14-09-2020,10-10-2020,33112
36,1 wk ahead inc death,21-09-2020,26-09-2020,57
36,2 wk ahead inc death,21-09-2020,03-10-2020,57
36,3 wk ahead inc death,21-09-2020,10-10-2020,56
36,4 wk ahead inc death,21-09-2020,17-10-2020,57
36,1 wk ahead cum death,21-09-2020,26-09-2020,33058
36,2 wk ahead cum death,21-09-2020,03-10-2020,33058
36,3 wk ahead cum death,21-09-2020,10-10-2020,33057
36,4 wk ahead cum death,21-09-2020,17-10-2020,33058
36,1 wk ahead inc death,28-09-2020,03-10-2020,53
36,2 wk ahead inc death,28-09-2020,10-10-2020,52
36,3 wk ahead inc death,28-09-2020,17-10-2020,52
36,4 wk ahead inc death,28-09-2020,24-10-2020,52
36,1 wk ahead cum death,28-09-2020,03-10-2020,33074
36,2 wk ahead cum death,28-09-2020,10-10-2020,33098
36,3 wk ahead cum death,28-09-2020,17-10-2020,33124
36,4 wk ahead cum death,28-09-2020,24-10-2020,33148
36,1 wk ahead inc death,05-10-2020,10-10-2020,62
36,2 wk ahead inc death,05-10-2020,17-10-2020,62
36,3 wk ahead inc death,05-10-2020,24-10-2020,61
36,4 wk ahead inc death,05-10-2020,31-10-2020,63
36,1 wk ahead cum death,05-10-2020,10-10-2020,33103
36,2 wk ahead cum death,05-10-2020,17-10-2020,33165
36,3 wk ahead cum death,05-10-2020,24-10-2020,33226
36,4 wk ahead cum death,05-10-2020,31-10-2020,33289
36,1 wk ahead inc death,12-10-2020,17-10-2020,84
36,2 wk ahead inc death,12-10-2020,24-10-2020,84
36,3 wk ahead inc death,12-10-2020,31-10-2020,85
36,4 wk ahead inc death,12-10-2020,07-11-2020,87
36,1 wk ahead cum death,12-10-2020,17-10-2020,33303
36,2 wk ahead cum death,12-10-2020,24-10-2020,33387
36,3 wk ahead cum death,12-10-2020,31-10-2020,33472
36,4 wk ahead cum death,12-10-2020,07-11-2020,33559
